Market,Order_Items,Total_Sales,Total_Profit,Avg_Profit,Avg_Profit_Ratio,Loss_Making_Items,Profit_Margin_%,Loss_Rate_%
Africa,11614,2294452.88,252071.18,21.704079559152746,0.1249750301360427,2158,10.986112732896917,18.58102290339246
Europe,50252,10872396.6,1169442.96,23.271570484756825,0.1223895566345618,9420,10.75607341255377,18.74552256626602
LATAM,51594,10277612.64,1123321.61,21.772330309725938,0.12120769856960112,9588,10.929791278843139,18.58355622746831
Pacific Asia,41260,8273743.58,857753.44,20.7889830344159,0.11586282113427047,7806,10.367174565011114,18.919049927290356
USCA,25799,5066528.61,564313.78,21.87347494088918,0.12183185394782743,4812,11.138075464257566,18.651885732005116
